title,album,artist,id,url
Afterglow,Afterglow,Nils Hoffmann,4Ir2UxDlAm01qmv3eSZYlP,https://open.spotify.com/track/4Ir2UxDlAm01qmv3eSZYlP
Alas,Alas,nimino,5CNvkZHDeclbdJfh3o7KHN,https://open.spotify.com/track/5CNvkZHDeclbdJfh3o7KHN
All In A Dream,All In A Dream,"LP Giobbi, DJ Tennis, Joseph Ashworth",11SEKnYpFCFRXnUap3Cso2,https://open.spotify.com/track/11SEKnYpFCFRXnUap3Cso2
All The Lights,All The Lights,"EMBRZ, bailey",0RIO40zfxrCZVcxv6uGwPJ,https://open.spotify.com/track/0RIO40zfxrCZVcxv6uGwPJ
Altered Destiny - Chill Mix,Altered Destiny,Nora En Pure,5fRI7dWkOSw6DNaPef9MVV,https://open.spotify.com/track/5fRI7dWkOSw6DNaPef9MVV
Always - Monkey Safari Remix,Surrender (Remixes),"RÜFÜS DU SOL, Monkey Safari",6hAII4Wyrr0eV4MmPnsTuY,https://open.spotify.com/track/6hAII4Wyrr0eV4MmPnsTuY
Another You,Tears In Paradise,BONNIE X CLYDE,0GZ6PpNaMiViu3J0MDZztp,https://open.spotify.com/track/0GZ6PpNaMiViu3J0MDZztp
Baby,Baby,Cosmicat,2abJ4AhREoCVBPkMBOkhth,https://open.spotify.com/track/2abJ4AhREoCVBPkMBOkhth
Barely,Barely,Lipless,4j2arLSIdKGB05JrxYcn8t,https://open.spotify.com/track/4j2arLSIdKGB05JrxYcn8t
Believer - Marsh's Guatape Remix,Believer (Marsh's Guatape Remix),"Above & Beyond, Marsh",1GHOLip5jcgRIBqd8QUx7N,https://open.spotify.com/track/1GHOLip5jcgRIBqd8QUx7N
CIRCLES - Rodriguez Jr. Remix,CIRCLES (Rodriguez Jr. Remix),"JOPLYN, Rodriguez Jr.",0PwaykhbrTRE7DdtCM5hKR,https://open.spotify.com/track/0PwaykhbrTRE7DdtCM5hKR
Canopée des Cîmes,Canopée des Cîmes,Jan Blomqvist,2nVUEKKPv9DDilSZwCcMfu,https://open.spotify.com/track/2nVUEKKPv9DDilSZwCcMfu
Choir To The Wild,Choir To The Wild,"Tinlicker, Solomon Grey",1Roz7FfvXU50hWjdjEPvDo,https://open.spotify.com/track/1Roz7FfvXU50hWjdjEPvDo
Cimmerian,Wishing Well / Cimmerian,"Lipless, Blue Noir",0dmXGQ2zRVOm6N60S0UdHK,https://open.spotify.com/track/0dmXGQ2zRVOm6N60S0UdHK
Come Closer,Come Closer,Shingo Nakamura,3IpPQ5sXybfzGycTxDTe4d,https://open.spotify.com/track/3IpPQ5sXybfzGycTxDTe4d
Contra,Contra,OLAN,78Dnmmh4zDQf7mt2N7X7xW,https://open.spotify.com/track/78Dnmmh4zDQf7mt2N7X7xW
Conundrum,Conundrum,EDX,7EmY6KCl1EF5FbieZznTrL,https://open.spotify.com/track/7EmY6KCl1EF5FbieZznTrL
Daybreak,Daybreak,Alice DiMar,1laVJxoALXrvIeVesYSkzW,https://open.spotify.com/track/1laVJxoALXrvIeVesYSkzW
Do You Feel The Same? - OCULA Remix,Do You Feel The Same? (OCULA Remix),"Emmit Fenn, OCULA",588upfdUtSJ3Mvsqvyqzhs,https://open.spotify.com/track/588upfdUtSJ3Mvsqvyqzhs
