title,album,artist,id,url
Afterglow,Afterglow,Nils Hoffmann,4Ir2UxDlAm01qmv3eSZYlP,https://open.spotify.com/track/4Ir2UxDlAm01qmv3eSZYlP
Alas,Alas,nimino,5CNvkZHDeclbdJfh3o7KHN,https://open.spotify.com/track/5CNvkZHDeclbdJfh3o7KHN
All In A Dream,All In A Dream,"LP Giobbi, DJ Tennis, Joseph Ashworth",11SEKnYpFCFRXnUap3Cso2,https://open.spotify.com/track/11SEKnYpFCFRXnUap3Cso2
All The Lights,All The Lights,"EMBRZ, bailey",0RIO40zfxrCZVcxv6uGwPJ,https://open.spotify.com/track/0RIO40zfxrCZVcxv6uGwPJ
Altered Destiny - Chill Mix,Altered Destiny,Nora En Pure,5fRI7dWkOSw6DNaPef9MVV,https://open.spotify.com/track/5fRI7dWkOSw6DNaPef9MVV
Always - Monkey Safari Remix,Surrender (Remixes),"RÜFÜS DU SOL, Monkey Safari",6hAII4Wyrr0eV4MmPnsTuY,https://open.spotify.com/track/6hAII4Wyrr0eV4MmPnsTuY
Another You,Tears In Paradise,BONNIE X CLYDE,0GZ6PpNaMiViu3J0MDZztp,https://open.spotify.com/track/0GZ6PpNaMiViu3J0MDZztp
Barely,Barely,Lipless,4j2arLSIdKGB05JrxYcn8t,https://open.spotify.com/track/4j2arLSIdKGB05JrxYcn8t
Believer - Marsh's Guatape Remix,Believer (Marsh's Guatape Remix),"Above & Beyond, Marsh",1GHOLip5jcgRIBqd8QUx7N,https://open.spotify.com/track/1GHOLip5jcgRIBqd8QUx7N
Blue,Blue,"Marsh, Leo Wood",1GHmR1BFIhvnc04K8i1E64,https://open.spotify.com/track/1GHmR1BFIhvnc04K8i1E64
By My Side,Visage 4 (By My Side),"Massane, MAGNUS",0oiXA5d3B3QAbHFwom7OJZ,https://open.spotify.com/track/0oiXA5d3B3QAbHFwom7OJZ
Canopée des Cîmes,Canopée des Cîmes,Jan Blomqvist,2nVUEKKPv9DDilSZwCcMfu,https://open.spotify.com/track/2nVUEKKPv9DDilSZwCcMfu
Choir To The Wild,Choir To The Wild,"Tinlicker, Solomon Grey",1Roz7FfvXU50hWjdjEPvDo,https://open.spotify.com/track/1Roz7FfvXU50hWjdjEPvDo
Cimmerian,Wishing Well / Cimmerian,"Lipless, Blue Noir",0dmXGQ2zRVOm6N60S0UdHK,https://open.spotify.com/track/0dmXGQ2zRVOm6N60S0UdHK
Contra,Contra,OLAN,78Dnmmh4zDQf7mt2N7X7xW,https://open.spotify.com/track/78Dnmmh4zDQf7mt2N7X7xW
Conundrum,Conundrum,EDX,7EmY6KCl1EF5FbieZznTrL,https://open.spotify.com/track/7EmY6KCl1EF5FbieZznTrL
Daybreak,Daybreak,Alice DiMar,1laVJxoALXrvIeVesYSkzW,https://open.spotify.com/track/1laVJxoALXrvIeVesYSkzW
Disappear,Disappear,"THEMBA, Nico de Andrea, Tasan",1kEdYirmW9IZ4R4QFaPvpE,https://open.spotify.com/track/1kEdYirmW9IZ4R4QFaPvpE
Empty Promise,"Happiness, Guaranteed","Mansionair, Vandelux",0sEn4RyabCmp3dGbbT5J6I,https://open.spotify.com/track/0sEn4RyabCmp3dGbbT5J6I
