title,album,artist,id,url
Can't Stop Me (Tiesto Edit) [feat. Shermanology],Can't Stop Me (New Tiesto and R3hab & Dyro Mixes),"Afrojack, Shermanology, Tiësto",0c666dYJ0Jeet8c4fAMskk,https://open.spotify.com/track/0c666dYJ0Jeet8c4fAMskk
Roses - Imanbek Remix,Roses (Imanbek Remix),"SAINt JHN, Imanbek",7fPuWrlpwDcHm5aHCH5D9t,https://open.spotify.com/track/7fPuWrlpwDcHm5aHCH5D9t
Panic Room,Panic Room,Au/Ra,7uUahoeqGNRMbpdeiLj1rS,https://open.spotify.com/track/7uUahoeqGNRMbpdeiLj1rS
False Alarm - Hook N Sling Remix,False Alarm (Remixes),"Matoma, Becky Hill, Hook N Sling",7FWSYDL3TOu0Q4fzBdx3F5,https://open.spotify.com/track/7FWSYDL3TOu0Q4fzBdx3F5
Stereophone - Original Mix,Sthereophone EP,Riky lopez,0UKKUFezSBbMkyYaezGWWH,https://open.spotify.com/track/0UKKUFezSBbMkyYaezGWWH
Where My Keys?,Meowingtons Hax Tour Trax,deadmau5,19K51efGAGo1vjJNEbSnaP,https://open.spotify.com/track/19K51efGAGo1vjJNEbSnaP
TiK ToK,Animal (Expanded Edition),Kesha,0HPD5WQqrq7wPWR7P7Dw1i,https://open.spotify.com/track/0HPD5WQqrq7wPWR7P7Dw1i
Fake Friends (feat. Alex Hosking),Fake Friends (feat. Alex Hosking),"PS1, Alex Hosking",0UBjV0qdhBKQLnl8tNXb9e,https://open.spotify.com/track/0UBjV0qdhBKQLnl8tNXb9e
Fake Friends (feat. Alex Hosking),Fake Friends (feat. Alex Hosking),"PS1, Alex Hosking",0UBjV0qdhBKQLnl8tNXb9e,https://open.spotify.com/track/0UBjV0qdhBKQLnl8tNXb9e
Slumber (Original Mix),Club Life - Volume One Las Vegas (Unmixed),Steve Forte Rio;Lindsey Ray,2VOpOVkcqk7ilAh2SD3M66,https://open.spotify.com/track/2VOpOVkcqk7ilAh2SD3M66
LOVE IN THE DARK - Dzeko Remix,LOVE IN THE DARK (Dzeko Remix),"Jessie Reyez, Dzeko",4jz8GieObBxUrBGPe5gyak,https://open.spotify.com/track/4jz8GieObBxUrBGPe5gyak
Broken Record,Ammunition,Krewella,2eQeO6nn2hMaMECtoWMT6y,https://open.spotify.com/track/2eQeO6nn2hMaMECtoWMT6y
Blink Again,Blink Again,"John Dahlbäck, Benny Benassi",0mJYMntPJ30Q5XBLfQz7RM,https://open.spotify.com/track/0mJYMntPJ30Q5XBLfQz7RM
Make It To Heaven (with Raye),Make It To Heaven (with Raye),"David Guetta, MORTEN, RAYE",5dS2dvXVPe7AR6UwBpnomW,https://open.spotify.com/track/5dS2dvXVPe7AR6UwBpnomW
In My Mind - Axwell Mix,In My Mind,"Ivan Gough, Feenixpawl, Georgi Kay, Axwell",0YavAPLJphynlYp1PlcaOr,https://open.spotify.com/track/0YavAPLJphynlYp1PlcaOr
We Are One - Vocal Radio Edit,Ahora 014,"Pegboard Nerds, SPLITBREED",3lRxSIX8esy8WvHOFbGpvs,https://open.spotify.com/track/3lRxSIX8esy8WvHOFbGpvs
Tonight (feat. Danyka Nadeau),Monstercat 012 - Aftermath,"Stereotronique, Sebastian Ivarsson, Danyka",5MYcoAxrfxggtnBNLEbhk7,https://open.spotify.com/track/5MYcoAxrfxggtnBNLEbhk7
Broken Record,Ammunition,Krewella,2eQeO6nn2hMaMECtoWMT6y,https://open.spotify.com/track/2eQeO6nn2hMaMECtoWMT6y
Are You Lonely (feat. ISÁK),Are You Lonely (feat. ISÁK),"Steve Aoki, Alan Walker, ISÁK",52EB2Gk1nkxZmbomJOXUde,https://open.spotify.com/track/52EB2Gk1nkxZmbomJOXUde
Are You Lonely (feat. ISÁK),Are You Lonely (feat. ISÁK),"Steve Aoki, Alan Walker, ISÁK",52EB2Gk1nkxZmbomJOXUde,https://open.spotify.com/track/52EB2Gk1nkxZmbomJOXUde
House Arrest,House Arrest,"Sofi Tukker, Gorgon City",5QYKmxfPsl69GgeZKDAVSx,https://open.spotify.com/track/5QYKmxfPsl69GgeZKDAVSx
