title,album,artist,id,url
A Drug From God,A Drug From God,"Chris Lake, NPC",4skbQNtyjy8A7mo8oqe2oD,https://open.spotify.com/track/4skbQNtyjy8A7mo8oqe2oD
ALL DAY / ALL NIGHT - Radio Edit,ALL DAY / ALL NIGHT,DONT BLINK,3qdJ0t9CO3WRxzKcoJhSBY,https://open.spotify.com/track/3qdJ0t9CO3WRxzKcoJhSBY
Acrobatic - Biscits Remix,Acrobatic (Biscits Remix),"SIDEPIECE, Biscits",3q9dy1PPTtOHFEWF2GkTSK,https://open.spotify.com/track/3q9dy1PPTtOHFEWF2GkTSK
Back Tomorrow,Back Tomorrow,"Ferreck Dawn, Jem Cooke",4q2azQakSVVyqljRiCZtu3,https://open.spotify.com/track/4q2azQakSVVyqljRiCZtu3
Bocat,Bocat,"Guy Gerber, Albertina",4rS8pri7CQvOjWmfNBOm8B,https://open.spotify.com/track/4rS8pri7CQvOjWmfNBOm8B
Butterflies (feat. Tristan Henry) - Biscits Remix,Butterflies (feat. Tristan Henry) [Biscits Remix],"Vintage Culture, FFLORA, Tristan Henry, Biscits",7qY1QnjNuxThxtTz9wMuRo,https://open.spotify.com/track/7qY1QnjNuxThxtTz9wMuRo
California Dreamin' (feat. High Jinx),California Dreamin' (feat. High Jinx),"Chris Lorenzo, High Jinx",4ASOMWcJUrwEpjJy4GEijz,https://open.spotify.com/track/4ASOMWcJUrwEpjJy4GEijz
Check Out,Check Out,"J. Worra, Leo Stannard",2n6qz4opcJlHsEpI8030YM,https://open.spotify.com/track/2n6qz4opcJlHsEpI8030YM
Colombiana,Colombiana,"Gettoblaster, CZR",09wXTzm6Q3NpBDKS4kUAqc,https://open.spotify.com/track/09wXTzm6Q3NpBDKS4kUAqc
Come Back,Come Back,"Guz, Havoc & Lawn",60IqofOzB6pugAP0kOFFmX,https://open.spotify.com/track/60IqofOzB6pugAP0kOFFmX
Cosmic Kiss (Gorgon City Remix),Cosmic Kiss (Gorgon City Remix),"PAX, Gorgon City",7bGSTIWYqujWLj8ERO1oBy,https://open.spotify.com/track/7bGSTIWYqujWLj8ERO1oBy
Diamonds,Diamonds,"Sam Blans, Jayson Alanzo",6kLiLGTBQ0RhPgYOHYt9gI,https://open.spotify.com/track/6kLiLGTBQ0RhPgYOHYt9gI
Do It To It,Do It To It,"ACRAZE, Cherish",20on25jryn53hWghthWWW3,https://open.spotify.com/track/20on25jryn53hWghthWWW3
Do That,Do That,SUMR CAMP,6WtOFIQFTFxTByujXuoctI,https://open.spotify.com/track/6WtOFIQFTFxTByujXuoctI
Domino (feat. Oxia),Domino (feat. Oxia),"Alok, Vintage Culture, Oxia",1TepyN2GXukyc6wo3kTFMO,https://open.spotify.com/track/1TepyN2GXukyc6wo3kTFMO
Don’t Rush,Don’t Rush,Will Taylor (UK),6Jtg27WTAob2oCVsbhhXWx,https://open.spotify.com/track/6Jtg27WTAob2oCVsbhhXWx
Dopamine (feat. Eyelar) [John Summit Remix],Dopamine (feat. Eyelar) [John Summit Remix],"Purple Disco Machine, John Summit, Eyelar",0np5Q0HCkLlUU9NVUCbqHv,https://open.spotify.com/track/0np5Q0HCkLlUU9NVUCbqHv
Duro,Duro,CID,1vDkc8P9SDkqXlXHs3uzjV,https://open.spotify.com/track/1vDkc8P9SDkqXlXHs3uzjV
Ectogazm,Ectogazm,Skream,5MYARoapSdgdS3RIYpoUUy,https://open.spotify.com/track/5MYARoapSdgdS3RIYpoUUy
Fairytale Frequency,Fairytale Frequency,"Jamie Jones, Alan Fitzpatrick",537AcknNyv4DBFuzqmuX7T,https://open.spotify.com/track/537AcknNyv4DBFuzqmuX7T
Feeling Good,Feeling Good,Daniel Steinberg,6j77SbgjwYTDi30BHF5Zfo,https://open.spotify.com/track/6j77SbgjwYTDi30BHF5Zfo
Give It Up,Give It Up,"Max Styler, Kyle Walker",46j2gbguuzgeBEVyfNMDhG,https://open.spotify.com/track/46j2gbguuzgeBEVyfNMDhG
Groove La Afrika,Soul on Ice EP PT1,Melé,18XaSQTiVylPUq0uSyWZAh,https://open.spotify.com/track/18XaSQTiVylPUq0uSyWZAh
Handy Work,Handy Work,Jamie Jones,1AXDyDxGiXpAUQb5UmTLu8,https://open.spotify.com/track/1AXDyDxGiXpAUQb5UmTLu8
Heat Of The Night - Dom Dolla Remix,Heat Of The Night,"Eat More Cake, Dom Dolla",0jRUOijG1AckwVDmPG55S0,https://open.spotify.com/track/0jRUOijG1AckwVDmPG55S0
Hot For You,Hot For You,"Seolo, Yvvan Back",6Ve7bYSnaFZgKiRw6w4jj7,https://open.spotify.com/track/6Ve7bYSnaFZgKiRw6w4jj7
How I Feel - Biscits Remix,How I Feel (Biscits Remix),"Martin Ikin, Hayley May, Biscits",475B0rNgiaycpb5tS8fjzP,https://open.spotify.com/track/475B0rNgiaycpb5tS8fjzP
In My Arms - Edit,Never Enough,Disclosure,5ukTUKLwsaThljUaV6IVAs,https://open.spotify.com/track/5ukTUKLwsaThljUaV6IVAs
Into The Groove,Into The Groove,Tita Lau,2DGZwPbTxiiWB8gESqpdpi,https://open.spotify.com/track/2DGZwPbTxiiWB8gESqpdpi
Its Time to Move,Its Time to Move,Sosa UK,4qK9g7RGoHCUpfbGu3Mlf4,https://open.spotify.com/track/4qK9g7RGoHCUpfbGu3Mlf4
Jack Machine,Jack Machine,"Dombresky, Noizu",1239Sq2SqVR55dY3jrDMQx,https://open.spotify.com/track/1239Sq2SqVR55dY3jrDMQx
Jump Around,Jump Around,"Dillon Nathaniel, Kevin McKay",63fQTOIVo5EMZauf2QAH5W,https://open.spotify.com/track/63fQTOIVo5EMZauf2QAH5W
Jungle,Jungle,Rob Black,7qUKunNI8Gvfn6uM2EOhLE,https://open.spotify.com/track/7qUKunNI8Gvfn6uM2EOhLE
Kush,Kush,"Guz, Ferreck Dawn",1mcKSOFFc19eci3MVpMLEu,https://open.spotify.com/track/1mcKSOFFc19eci3MVpMLEu
La Vida,La Vida,Dot N Life,3zxC1jnND5QZ6adtUb7GP8,https://open.spotify.com/track/3zxC1jnND5QZ6adtUb7GP8
Lauren,Lauren,Oden & Fatzo,33tYADyL2aZctrvR59K1bQ,https://open.spotify.com/track/33tYADyL2aZctrvR59K1bQ
Let It Go (with Marc E. Bassy) - Dom Dolla Remix,Let It Go (with Marc E. Bassy) [Dom Dolla Remix],"Louie Vega, The Martinez Brothers, Marc E. Bassy, Dom Dolla",4V3oJg19fIQCbwhGrBES6Y,https://open.spotify.com/track/4V3oJg19fIQCbwhGrBES6Y
Let Me Dance - Jansons Remix,"For Club Play Only, Pt. 7 (Remixes)","Duke Dumont, Kid Enigma, Jansons",3r8hCxrLP5wsN59QWe4dXQ,https://open.spotify.com/track/3r8hCxrLP5wsN59QWe4dXQ
Let Me Hear You,Let Me Hear You,Chapter & Verse,5eG6Wk7H7Oohwal7Z7eYCs,https://open.spotify.com/track/5eG6Wk7H7Oohwal7Z7eYCs
Life Of Sin (feat. Ranger Trucco),Life Of Sin (feat. Ranger Trucco),"Westend, Ranger Trucco",5CB3JnLsxjDJj2EUabWcuj,https://open.spotify.com/track/5CB3JnLsxjDJj2EUabWcuj
Live Stream,Live Stream,"Mark Knight, Green Velvet, Rene Amesz",4a0aQKQ59K9owKjzg9c5N9,https://open.spotify.com/track/4a0aQKQ59K9owKjzg9c5N9
Love It or Not (feat. Infinite Coles),Love It or Not (feat. Infinite Coles),"Mella Dee, Infinite Coles",1klY5RDT7s0wXJrJjg0ftJ,https://open.spotify.com/track/1klY5RDT7s0wXJrJjg0ftJ
Love Vibration,Love Vibration,ESSEL,5B2Fil0dJNfob1W8gpL5E4,https://open.spotify.com/track/5B2Fil0dJNfob1W8gpL5E4
Love You Like That,Love You Like That,Cloonee,6QNOYe6I5Dt7oHtcIkmYZ5,https://open.spotify.com/track/6QNOYe6I5Dt7oHtcIkmYZ5
Motivate,Motivate,Jeremiah Asiamah,5J5ORcB3J61EgsVC2LADbc,https://open.spotify.com/track/5J5ORcB3J61EgsVC2LADbc
Moving Blind - Gorgon City Remix,Moving Blind (Gorgon City Remix),"Sonny Fodera, Dom Dolla, Gorgon City",34R7dDteJvbpKQEFQgPVgO,https://open.spotify.com/track/34R7dDteJvbpKQEFQgPVgO
