title,album,artist,id,url
Worry About Me (feat. blackbear),Worry About Me (feat. blackbear),"Ellie Goulding, blackbear",0wsfdPl7p3yKjQBmHQsaDn,https://open.spotify.com/track/0wsfdPl7p3yKjQBmHQsaDn
365,365,"Zedd, Katy Perry",2XWjPtKdi5sucFYtVav07d,https://open.spotify.com/track/2XWjPtKdi5sucFYtVav07d
Without Me,Without Me,Halsey,5p7ujcrUXASCNwRaWNHR1C,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
Break My Heart,Break My Heart,Dua Lipa,1raaNykBg1bDnWENUiglUA,https://open.spotify.com/track/1raaNykBg1bDnWENUiglUA
Ocean Eyes - Blackbear Remix,Ocean Eyes (The Remixes),"Billie Eilish, blackbear",4JuZQeSRYJfLCqBgBIxxrR,https://open.spotify.com/track/4JuZQeSRYJfLCqBgBIxxrR
hot girl bummer,hot girl bummer,blackbear,7aiClxsDWFRQ0Kzk5KI5ku,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
Physical,Physical,Dua Lipa,5px6upUHM3fhOP621Edp4V,https://open.spotify.com/track/5px6upUHM3fhOP621Edp4V
Only With You,Only With You,Cyn,6fCIDoJtoSgYbPb7Pe1lQ0,https://open.spotify.com/track/6fCIDoJtoSgYbPb7Pe1lQ0
Terrible Ideas,Terrible Ideas,Cyn,7vL3s6VPhMkguA3WShebG8,https://open.spotify.com/track/7vL3s6VPhMkguA3WShebG8
Cool,Future Nostalgia,Dua Lipa,2nMOodYNHBAQ3Kc1QNimZU,https://open.spotify.com/track/2nMOodYNHBAQ3Kc1QNimZU
Drinks,Drinks,Cyn,7c2ag2Q4vhJyjDANataJj2,https://open.spotify.com/track/7c2ag2Q4vhJyjDANataJj2
Lonely Gun,Lonely Gun,Cyn,3fMTAp7ZckCg8nCfwdn9co,https://open.spotify.com/track/3fMTAp7ZckCg8nCfwdn9co
Believer,Believer,Cyn,3Jxjb19MCQAygvyFeHs6TX,https://open.spotify.com/track/3Jxjb19MCQAygvyFeHs6TX
Diamonds (with Normani),Birds of Prey: The Album,"Megan Thee Stallion, Normani",6ICBns1bymo8FRM6rlr48H,https://open.spotify.com/track/6ICBns1bymo8FRM6rlr48H
Experiment On Me,Birds of Prey: The Album,Halsey,0CDUUxU4MSg53nUbZF1ZRA,https://open.spotify.com/track/0CDUUxU4MSg53nUbZF1ZRA
Swing,Swing,"Sofi Tukker, Allday",0Hb1y5PXdcuhNmLC1iytPw,https://open.spotify.com/track/0Hb1y5PXdcuhNmLC1iytPw
No Lie,Mad Love The Prequel,"Sean Paul, Dua Lipa",48QmG1dfvMuYLxMPt7KSRA,https://open.spotify.com/track/48QmG1dfvMuYLxMPt7KSRA
Body Pump,Renaissance,Aluna,7qxqsahO7eTkJpaJZUNfws,https://open.spotify.com/track/7qxqsahO7eTkJpaJZUNfws
Alright,Alright,Cyn,5pzHt6zAEbkgbarADfVXRe,https://open.spotify.com/track/5pzHt6zAEbkgbarADfVXRe
Boyfriend,Rare - Deluxe,Selena Gomez,4QnC1bIaMSfDQvF4XDhV5M,https://open.spotify.com/track/4QnC1bIaMSfDQvF4XDhV5M
Icy,Clarity,Kim Petras,3zmzb7WcCXpEAXq1RtQ7o4,https://open.spotify.com/track/3zmzb7WcCXpEAXq1RtQ7o4
Gasoline,BADLANDS (Deluxe),Halsey,2IO7yf562c1zLzpanal1DT,https://open.spotify.com/track/2IO7yf562c1zLzpanal1DT
You Right,Planet Her,"Doja Cat, The Weeknd",0k4d5YPDr1r7FX77VdqWez,https://open.spotify.com/track/0k4d5YPDr1r7FX77VdqWez
Strangers,hopeless fountain kingdom (Deluxe),"Halsey, Lauren Jauregui",11EDhDAVDtGPoSar6ootYA,https://open.spotify.com/track/11EDhDAVDtGPoSar6ootYA
Here For My Habits,Here For My Habits,Ängie,0z8XMjjh0j897URJwmFDsG,https://open.spotify.com/track/0z8XMjjh0j897URJwmFDsG
"I am not a woman, I'm a god","If I Can’t Have Love, I Want Power",Halsey,5RhFmJifQe83FpQ6ZFFTZ5,https://open.spotify.com/track/5RhFmJifQe83FpQ6ZFFTZ5
Assassin,Assassin,Au/Ra,1VYruNWR6k3fKQL5LXtIIK,https://open.spotify.com/track/1VYruNWR6k3fKQL5LXtIIK
Don’t Play,hopeless fountain kingdom (Deluxe),Halsey,7hHTbI9DRg8u9oJ92RQJkw,https://open.spotify.com/track/7hHTbI9DRg8u9oJ92RQJkw
