# Saved Songs
title,album,artist,id,url
Funeral March - Original Mix,Funeral March,Black Tiger Sex Machine,5RTrBe1HfkQD3CtLJ8a2y7,https://open.spotify.com/track/5RTrBe1HfkQD3CtLJ8a2y7
Retro City,Retro City,Adventure Club,31R8eTyaTxfuhcdOi5r9q8,https://open.spotify.com/track/31R8eTyaTxfuhcdOi5r9q8
Gold (feat. Yuna),Calling All Heroes - EP,"Adventure Club, Yuna",2KlZexJjJPuNWcN5uAG1GU,https://open.spotify.com/track/2KlZexJjJPuNWcN5uAG1GU
Drive It Like You Stole It - Mirko Kosmos Remix,Drink the Sea (Remixes Vol. 2),"The Glitch Mob, Mirko-Kosmos",1NL8bSqaFLTv4nhoYsoeWw,https://open.spotify.com/track/1NL8bSqaFLTv4nhoYsoeWw
Star Sky - Instrumental,Battlecry,"Two Steps from Hell, Thomas Bergersen",4i6Dk1GRO43BEmhyJTjB41,https://open.spotify.com/track/4i6Dk1GRO43BEmhyJTjB41
Invincible,Invincible,Two Steps from Hell,0Z7VY2YzJdYThjXcMrH9Gh,https://open.spotify.com/track/0Z7VY2YzJdYThjXcMrH9Gh
Runaway (U & I),Pharmacy,Galantis,46lFttIf5hnUZMGvjK0Wxo,https://open.spotify.com/track/46lFttIf5hnUZMGvjK0Wxo
Dreams,Dreams,Beck,4mqVUkv3epcKid8O9tlgtl,https://open.spotify.com/track/4mqVUkv3epcKid8O9tlgtl
Faded - Slushii Remix,Faded (Remixes II),"Alan Walker, Slushii",1JcC5Zu7vrdMGDjJkw6Z3Q,https://open.spotify.com/track/1JcC5Zu7vrdMGDjJkw6Z3Q
Overtime,Overtime EP,Cash Cash,2E01JGJGMa5gW1PmqAWYXG,https://open.spotify.com/track/2E01JGJGMa5gW1PmqAWYXG
Dark Star (Milkman Remix),Dark Star (Milkman Remix),"Milkman, Jaymes Young",5hc56hz8l6W1u4acuXIiNY,https://open.spotify.com/track/5hc56hz8l6W1u4acuXIiNY
Heathens,Heathens,Twenty One Pilots,6i0V12jOa3mr6uu4WYhUBr,https://open.spotify.com/track/6i0V12jOa3mr6uu4WYhUBr
Threnody for Europe,Threnody for Europe,Thomas Bergersen,3v3ZibITYLxSzM2qEM7ggQ,https://open.spotify.com/track/3v3ZibITYLxSzM2qEM7ggQ
I Remember You - Minero Remix,I Remember You (Electro Remixes),"Danilo Garcia, Laura Brehm, Minero",5hADaGvNHDkRruR4Vq0XoH,https://open.spotify.com/track/5hADaGvNHDkRruR4Vq0XoH
Amaria,Battlecry,"Two Steps from Hell, Thomas Bergersen",6TabSNWjEENMHEDhyY3BG9,https://open.spotify.com/track/6TabSNWjEENMHEDhyY3BG9
How Many,How Many,W&W,64BbRFQBFPpSKhmCZ5w7K1,https://open.spotify.com/track/64BbRFQBFPpSKhmCZ5w7K1
Piercing Light (feat. Mako),Warsongs,"League of Legends, Mako",50cSs6d03KV85oKytBmin9,https://open.spotify.com/track/50cSs6d03KV85oKytBmin9
The Universe Is Ours,The Universe Is Ours,"Headhunterz, Crystal Lake, Reunify, KiFi",0w339q5XFjT2dRjbxjaUSc,https://open.spotify.com/track/0w339q5XFjT2dRjbxjaUSc
Saved,Saved,deadmau5,2JjwR5GK8XZE0ZOiL1VBOf,https://open.spotify.com/track/2JjwR5GK8XZE0ZOiL1VBOf
CVNT5,100 Reasons To Live,"Gareth Emery, CVNT5, Ashley Wallbridge",0ydn94XuC3iayjMrhVVMGf,https://open.spotify.com/track/0ydn94XuC3iayjMrhVVMGf
Morphine,Morphine,"Thomas Gold, Lush & Simon",7aUQKqlFwXVxWgEiIfargD,https://open.spotify.com/track/7aUQKqlFwXVxWgEiIfargD
Anchor,Metamorphic III,Tritonal,69mlHIPayAZVzC32RaVty5,https://open.spotify.com/track/69mlHIPayAZVzC32RaVty5
Colors,Colors,"Boombox Cartel, Grabbitz",400qVixdAaGueKeqm7zGcJ,https://open.spotify.com/track/400qVixdAaGueKeqm7zGcJ
How You Love Me,How You Love Me,"3LAU, Bright Lights",1nas007nDbzLwDGwvMdz79,https://open.spotify.com/track/1nas007nDbzLwDGwvMdz79
Addicted To A Memory,True Colors,"Zedd, Bahari",0xTGfdrWzJLKRD4U6hxSsg,https://open.spotify.com/track/0xTGfdrWzJLKRD4U6hxSsg
Split (Only U),Split (Only U),"Tiësto, The Chainsmokers",5zwBmW0IbXpIA84cVHDGhe,https://open.spotify.com/track/5zwBmW0IbXpIA84cVHDGhe
